valor_curso;valor_area_materia;valor_criterio_evaluacion;descripcion_criterio_evaluacion
"4º ESO";"Ámbito científico- experimental";"Identificar elementos matemáticos presentes en la realidad, y aplicar los conocimientos científicos adquiridos en situaciones cotidianas.";
"4º ESO";"Ámbito científico- experimental";"Utilizar números enteros, fracciones, decimales y porcentajes sencillos, sus operaciones y propiedades, para recoger, transformar e intercambiar información y resolver problemas relacionados con la vida diaria.";
"4º ESO";"Ámbito científico- experimental";"Identificar y describir regularidades, pautas y relaciones en conjuntos de números, utilizar letras para simbolizar distintas cantidades y obtener expresiones algebraicas como síntesis en secuencias numéricas, así como el valor numérico de fórmulas sencillas.";
"4º ESO";"Ámbito científico- experimental";"Utilizar los procedimientos de las ciencias para estudiar y buscar alternativas a cuestiones científicas y tecnológicas y a la resolución de problemas locales y globales.";
"4º ESO";"Ámbito científico- experimental";"Describir e interpretar algunos fenómenos naturales mediante observaciones y procedimientos científicos como la elaboración de modelos sencillos y representaciones a escala del Sistema Solar y de los movimientos relativos entre la Luna, la Tierra y el Sol.";
"4º ESO";"Ámbito científico- experimental";"Conocer las rocas y los minerales más frecuentes, en especial los que se encuentran en el entorno próximo, utilizando claves sencillas, reconocer sus aplicaciones más frecuentes y describir las propiedades de materiales que nos rodean, tales como la masa, el volumen, los estados en los que se presentan y sus cambios.";
"4º ESO";"Ámbito científico- experimental";"Relacionar propiedades de los materiales con el uso que se hace de ellos y diferenciar entre mezclas y sustancias, gracias a las propiedades características de estas últimas, así como aplicar algunas técnicas de separación.";
"4º ESO";"Ámbito científico- experimental";"Resolver problemas aplicando los conocimientos sobre el concepto de temperatura y su medida, el equilibrio y desequilibrio térmico, los efectos del calor sobre los cuerpos y su forma de propagación.";
"4º ESO";"Ámbito científico- experimental";"Explicar fenómenos naturales referidos a la transmisión de la luz y del sonido y reproducir algunos de ellos teniendo en cuenta sus propiedades.";
"4º ESO";"Ámbito científico- experimental";"Conocer la existencia de la atmósfera y las propiedades del aire, llegar a interpretar cualitativamente fenómenos atmosféricos y valorar la importancia del papel protector de la atmósfera para los seres vivos, considerando las repercusiones de la actividad humana en la misma.";
"4º ESO";"Ámbito científico- experimental";"Identificar las acciones de los agentes geológicos internos en el origen del relieve terrestre, así como en el proceso de formación de las rocas magmáticas y metamórficas y valorar los riesgos asociados a los procesos geológicos internos y en su prevención y predicción.";
"4º ESO";"Ámbito científico- experimental";"Identificar los componentes bióticos y abióticos de un ecosistema cercano, valorar su diversidad y representar gráficamente las relaciones tróficas establecidas entre los seres vivos del mismo, así como conocer las principales características de los grandes biomas de la Tierra.";
