valor_curso;valor_area_materia;valor_criterio_evaluacion;descripcion_criterio_evaluacion
"1º ESO";"Ciencias de la naturaleza";"Interpretar algunos fenómenos naturales mediante la elaboración de modelos sencillos y representaciones a escala del Sistema Solar y de los movimientos relativos entre la Luna, la Tierra y el Sol.";"Este criterio valora la competencia del alumnado para justificar razonadamente algunos fenómenos naturales, como la duración de los años, el día y la noche, los eclipses, las fases de la Luna, las mareas o las estaciones a través de la interpretación de los movimientos relativos de la Tierra en el Sistema Solar. Se valorará la capacidad de interpretar modelos gráficos sencillos (como el planetario o las representaciones esquemáticas a escala) que expliquen los fenómenos descritos (objetivo 1)."
"1º ESO";"Ciencias de la naturaleza";"Describir razonadamente algunas de las observaciones y procedimientos científicos que han permitido avanzar en el conocimiento de nuestro planeta y del lugar que ocupa en el Universo.";"Este criterio valora la competencia del alumnado para utilizar los principales argumentos que justifican el desarrollo de las teorías astronómicas y su evolución histórica (sobre la esfericidad de la Tierra y los movimientos terrestres, sistemas geocéntricos vs. sistemas heliocéntricos, etc), haciendo hincapié en las repercusiones sociales de las mismas (influencia de la religión en la historia de la Ciencia, astrología y conjeturas pseudo-científicas, etc.) (objetivo 1)"
"1º ESO";"Ciencias de la naturaleza";"Establecer procedimientos para describir las propiedades de materiales que nos rodean, tales como la masa, el volumen, los estados en los que se presentan y sus cambios.";"Este criterio valora la competencia del alumnado para interpretar cuantitativa y cualitativamente algunas propiedades de la materia utilizando experiencias sencillas que le permitan investigar sus características e identificar los cambios de estado que experimenta, a la vez que se valora el manejo del instrumental científico y las habilidades adquiridas en la interpretación y representación de los datos obtenidos y muy en particular de los gases (por su contribución al establecimiento de la estructura corpuscular de la materia), mediante experiencias sencillas que le permitan comprender que tienen masa, ocupan volumen, se comprimen, se dilatan y se difunden (objetivo 1)."
"1º ESO";"Ciencias de la naturaleza";"Relacionar propiedades de los materiales con el uso que se hace de ellos y diferenciar entre mezclas y sustancias, gracias a las propiedades características de estas últimas, así como aplicar algunas técnicas de separación.";"Este criterio valora la competencia del alumnado para relacionar el uso de los materiales en la construcción de objetos con sus propiedades, y para diferenciar las mezclas de las sustancias por la posibilidad de separar aquéllas por procesos físicos como la filtración, decantación, cristalización, etc., aprovechando las propiedades que diferencia a cada sustancia de las demás (objetivo 1)."
"1º ESO";"Ciencias de la naturaleza";"Conocer la existencia de la atmósfera y las propiedades del aire, llegar a interpretar cualitativamente fenómenos atmosféricos y valorar la importancia del papel protector de la atmósfera para los seres vivos, considerando las repercusiones de la actividad humana en la misma.";"Este criterio valora la competencia del alumnado para obtener y analizar datos de distintas variables meteorológicas utilizando instrumentos de medición que le permitan familiarizarse con estos conceptos hasta llegar a interpretar algunos fenómenos meteorológicos sencillos. Se valorará también el conocimiento de los graves problemas de contaminación ambiental actuales y sus repercusiones, así como su actitud positiva frente a la necesidad de contribuir a su solución (objetivo 1)."
"1º ESO";"Ciencias de la naturaleza";"Explicar, a partir del conocimiento de las propiedades del agua, el ciclo del agua en la naturaleza y su importancia para los seres vivos, considerando las repercusiones de las actividades humanas en relación con su utilización.";"Este criterio valora la competencia del alumnado para obtener y analizar datos de distintas variables meteorológicas utilizando instrumentos de medición que le permitan familiarizarse con estos conceptos hasta llegar a interpretar algunos fenómenos meteorológicos sencillos. Se valorará también el conocimiento de los graves problemas de contaminación ambiental actuales y sus repercusiones, así como su actitud positiva frente a la necesidad de contribuir a su solución (objetivo 1)."
"1º ESO";"Ciencias de la naturaleza";"Conocer las rocas y los minerales más frecuentes, en especial los que se encuentran en el entorno próximo, utilizando claves sencillas y reconocer sus aplicaciones más frecuentes.";"Este criterio valora la competencia del alumnado para distinguir los diferentes tipos de rocas (magmáticas, metamórficas y sedimentarias) y minerales más comunes a partir de sus propiedades características, como la homogeneidad, aspecto, densidad y reacciones ante determinados reactivos en el caso de las rocas; y el brillo, dureza, densidad, etc. en los minerales. Se hará énfasis en las rocas que se encuentran en el entorno más cercano, identificando sus aplicaciones más frecuentes (objetivo 1)."
"1º ESO";"Ciencias de la naturaleza";"Reconocer que los seres vivos están constituidos por células y que llevan a cabo funciones vitales que los diferencian de la materia inerte. Identificar y reconocer las peculiaridades de los grupos más importantes, utilizando claves dicotómicas para su identificación.";"Este criterio valora la competencia del alumnado para reconocer y describir las características de estructura, organización y función de los seres vivos, a partir de muestras, fotografías, dibujos u otros medios. Asimismo, han de adquirir los criterios que permiten clasificar los seres vivos utilizando claves sencillas y técnicas de observación, como el uso de la lupa binocular y el microscopio para identificar células de organismos unicelulares y pluricelulares, y los rasgos más relevantes de un ser vivo que explican su pertenencia a un grupo taxonómico determinado (objetivo 1)."
"1º ESO";"Ciencias de la naturaleza";"Utilizar los procedimientos de las ciencias para estudiar y buscar alternativas a cuestiones científicas y tecnológicas y a la resolución de problemas locales y globales.";"Este criterio valora la competencia del alumnado para aplicar ante diferentes problemas estrategias como la formulación de hipótesis, el diseño experimental, el análisis de resultados y sus efectos, el análisis de riesgos, o la búsqueda de alternativas (objetivo 2)."
"1º ESO";"Ciencias de la naturaleza";"Utilizar las TIC como fuente de consulta, y como instrumento de representación y de presentación de documentos.";"Se valora la competencia del alumnado para integrar las tecnologías de la información y la comunicación en el proceso investigador, como medio para recoger información sobre los distintos fenómenos naturales, como medio para obtener imágenes y gráficos y como herramienta para representar textual y gráficamente la información recogida en los experimentos, así como para elaborar documentos de trabajo (objetivo 3)."
"1º ESO";"Ciencias de la naturaleza";"Identificar los comportamientos favorables y desfavorables para la salud y el medio ambiente";"Se valora la competencia del alumnado para generalizar los aprendizajes realizados en el análisis de los riesgos que entrañan para la salud y la conservación del medio ambiente comportamientos que acentúan el uso del agua, la utilización de factores contaminantes, etc (objetivo 4)."
"1º ESO";"Ciencias de la naturaleza";"Identificar el conocimiento científico como integración de diferentes disciplinas y la influencia que el trabajo científico tiene sobre la sociedad.";"Este criterio valora si el alumnado avanza en la comprensión del modo de construir las Ciencias naturales y relaciona los progresos que en ellas se producen con el desarrollo tecnológico y las necesidades del momento histórico de la sociedad. También deben comprender que el mantenimiento de una determinada teoría, en un momento dado, puede depender en parte de condicionamientos sociales, políticos o económicos de la época, como ponen de manifiesto las teorías sobre la evolución de las especies, con sus controversias científicas y religiosas, y su explicación a la luz de los conocimientos actuales. (Objetivo 5)."
"1º ESO";"Ciencias de la naturaleza";"Valorar las aportaciones de las Ciencias naturales a la construcción del conocimiento científico y su incidencia sobre la mejora de la calidad de vida.";"Este criterio valora si el alumnado tiene una imagen del conocimiento científico como un proceso en continua construcción, en el cual convergen diversos campos del saber y que no puede ser desligado del momento histórico en el que se desarrolla. De igual forma, se pretende evaluar si son capaces de explicar el carácter provisional de las teorías científicas y que sus formulaciones responden, fundamentalmente, a las necesidades de la sociedad, a cuyos problemas pretende dar respuesta (objetivo 6)."
"1º ESO";"Ciencias de la naturaleza";"Interpretar algunos fenómenos naturales mediante la elaboración de modelos sencillos y representaciones a escala del Sistema Solar y de los movimientos relativos entre la Luna, la Tierra y el Sol.";"Se trata de comprobar que el alumnado es capaz de justificar razonadamente algunos fenómenos naturales, como la duración de los años, el día y la noche, los eclipses, las fases de la Luna, las mareas o las estaciones a través de la interpretación de los movimientos relativos de la Tierra en el Sistema Solar. Se valorará la capacidad de interpretar modelos gráficos sencillos (como el planetario o las representaciones esquemáticas a escala) que expliquen los fenómenos descritos."
"1º ESO";"Ciencias de la naturaleza";"Describir razonadamente algunas de las observaciones y procedimientos científicos que han permitido avanzar en el conocimiento de nuestro planeta y del lugar que ocupa en el Universo.";"Se trata de evaluar si el alumno comprende los principales argumentos que justifican el desarrollo de las teorías astronómicas y su evolución histórica (sobre la esfericidad de la Tierra y los movimientos terrestres, sistemas geocéntricos vs. sistemas heliocéntricos, etc.), haciendo hincapié en las repercusiones sociales de las mismas (influencia de la religión en la historia de la Ciencia, astrología y conjeturas pseudo-científicas)."
