valor_curso;valor_area_materia;valor_criterio_evaluacion;descripcion_criterio_evaluacion
"2º ESO";"Ciencias de la naturaleza";"Utilizar el concepto cualitativo de energía para explicar su papel en las transformaciones que tienen lugar en nuestro entorno y reconocer la importancia y repercusiones para la sociedad y el medio ambiente de las diferentes fuentes de energía renovables y no renovables.";"Este criterio valora si el alumnado establece relaciones entre el concepto de energía con la capacidad de realizar cambios, si conoce diferentes formas y fuentes de energía, renovables y no renovables, sus ventajas e inconvenientes y algunos de los principales problemas asociados a su obtención, transporte y utilización. Se valorará si el alumnado comprende la importancia del ahorro energético y el uso de energías limpias para contribuir a un futuro sostenible (objetivos 1 y 5)."
"2º ESO";"Ciencias de la naturaleza";"Resolver problemas aplicando los conocimientos sobre el concepto de temperatura y su medida, el equilibrio y desequilibrio térmico, los efectos del calor sobre los cuerpos y su forma de propagación.";"Este criterio valora la competencia del alumnado para comprender la importancia del calor y sus aplicaciones, así como la distinción entre calor y temperatura en el estudio de los fenómenos térmicos y si es capaz de realizar experiencias sencillas relacionadas con los mismos. Se valorará si se sabe utilizar termómetros y se conoce su fundamento, se identifica el equilibrio térmico con la igualación de temperaturas, se comprende la transmisión del calor asociada al desequilibrio térmico y se sabe aplicar estos conocimientos a la resolución de problemas sencillos y de interés, como el aislamiento térmico de una zona (objetivo 1)."
"2º ESO";"Ciencias de la naturaleza";"Explicar fenómenos naturales referidos a la transmisión de la luz y del sonido, y reproducir algunos de ellos teniendo en cuenta sus propiedades.";"Este criterio valora si el alumnado es competente para utilizar sus conocimientos acerca de propiedades de la luz y el sonido como la reflexión y la refracción, para explicar fenómenos naturales, aplicarlos al utilizar espejos o lentes, justificar el fundamento físico de aparatos ópticos sencillos y diseñar o montar algunos de ellos como la cámara oscura. Se valorará, asimismo, si comprende las repercusiones de la contaminación acústica y lumínica y la necesidad de su solución (objetivo 1)."
"2º ESO";"Ciencias de la naturaleza";"Identificar las acciones de los agentes geológicos internos en el origen del relieve terrestre, así como en el proceso de formación de las rocas magmáticas y metamórficas y valorar los riesgos asociados a los procesos geológicos internos y su prevención y predicción.";"Este criterio valora si el alumnado tiene una concepción dinámica de la naturaleza y es capaz de reconocer e interpretar en el campo o en imágenes algunas manifestaciones de la dinámica interna en el relieve, como la presencia de pliegues, fallas, cordilleras y volcanes. Pretende también evaluar si el alumnado entiende las transformaciones que pueden existir en los distintos tipos de rocas endógenas en función de las características del ambiente geológico en el que se encuentran. Asimismo, si reconoce e interpreta los principales riesgos geológicos internos y su repercusión, utilizando noticias de prensa, mapas y otros canales de información (objetivos 1 y 5)."
"2º ESO";"Ciencias de la naturaleza";"Interpretar los aspectos relacionados con las funciones vitales de los seres vivos a partir de distintas observaciones y experiencias realizadas con organismos sencillos, comprobando el efecto que tienen determinadas variables en los procesos de nutrición, relación y reproducción.";"Este criterio valora el conocimiento por parte del alumnado de las funciones vitales de los seres vivos, las diferencias entre la nutrición de seres autótrofos y heterótrofos, las características y los tipos de reproducción, y los elementos fundamentales que intervienen en la función de relación. Se trata también de evaluar si es capaz de realizar experiencias sencillas (tropismos, fotosíntesis, fermentaciones) para comprobar la incidencia que tienen en estas funciones variables como la luz, el oxígeno, la clorofila, el alimento, la temperatura, etc (objetivo 1)."
"2º ESO";"Ciencias de la naturaleza";"Identificar los componentes bióticos y abióticos de un ecosistema cercano, valorar su diversidad y representar gráficamente las relaciones tróficas establecidas entre los seres vivos del mismo, así como conocer las principales características de los grandes biomas de la Tierra.";"Este criterio valora la competencia del alumnado a la hora de comprender el concepto de ecosistema y reconocer y analizar los elementos de un ecosistema concreto, obteniendo datos de algunos componentes abióticos (luz, humedad, temperatura, topografía, rocas, etc.) y bióticos (animales y plantas más abundantes); interpretar correctamente las relaciones y mecanismos reguladores establecidos entre ellos, y valorar la diversidad del ecosistema y la importancia de su preservación (objetivo 1)."
"2º ESO";"Ciencias de la naturaleza";"Utilizar los procedimientos de las ciencias para estudiar y buscar alternativas a cuestiones científicas y tecnológicas y a la resolución de problemas locales y globales.";"Este criterio valora la competencia del alumnado para aplicar a diferentes problemas estrategias como la formulación de hipótesis, el diseño experimental, el análisis de resultados y sus efectos, el análisis de riesgos, la búsqueda de alternativas…(objetivo 2)."
"2º ESO";"Ciencias de la naturaleza";"Utilizar las TIC como fuente de consulta, y como instrumento de representación y de presentación de documentos.";"Se valora la competencia del alumnado para integrar las tecnologías de la información y la comunicación en el proceso investigador, como medio para recoger información sobre los distintos fenómenos naturales, como medio para obtener imágenes y gráficos y como herramienta para representar textual y gráficamente la información recogida en los experimentos, así como para elaborar documentos de trabajo (objetivo 3)."
"2º ESO";"Ciencias de la naturaleza";"Identificar los comportamientos favorables y desfavorables para la salud y el medio ambiente";"Se valora la competencia del alumnado para generalizar los aprendizajes realizados en el análisis de los riesgos que entrañan para la salud y la conservación del medio ambiente comportamientos que acentúan el uso del agua, la utilización de factores contaminantes, etc (objetivo 4)."
"2º ESO";"Ciencias de la naturaleza";"Identificar el conocimiento científico como integración de diferentes disciplinas y la influencia que el trabajo científico tiene sobre la sociedad.";"Este criterio valora si el alumnado avanza en la comprensión del modo de construir las Ciencias naturales y relaciona los progresos que en ellas se producen con el desarrollo tecnológico y las necesidades del momento histórico de la sociedad. También deben comprender que el mantenimiento de una determinada teoría, en un momento dado, puede depender en parte de condicionamientos sociales, políticos o económicos de la época, como ponen de manifiesto las teorías sobre la evolución de las especies, con sus controversias científicas y religiosas, y su explicación a la luz de los conocimientos actuales. (Objetivo 5)."
